id,text,historical_reply,intent,expected_action,review_notes
697,@AppleSupport The newest update. I️ made sure to download it yesterday.,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
698,@AppleSupport  https://t.co/NV0yucs0lB,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.,other,escalate,AI-assisted preliminary label; requires human review
702,@AppleSupport Tried resetting my settings .. restarting my phone .. all that,@115855 Let's go to DM for the next steps. DM us here: https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
704,@AppleSupport This is what it looks like https://t.co/XCQU2l4xUB,@115855 Any steps tried since it started last night?,other,escalate,AI-assisted preliminary label; requires human review
707,@AppleSupport I️ have an iPhone 7 Plus and yes I️ do,@115855 That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?,other,escalate,AI-assisted preliminary label; requires human review
709,@AppleSupport I️ need answers because it’s annoying 🙃,@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,other,escalate,AI-assisted preliminary label; requires human review
717,@AppleSupport This is what is happening... https://t.co/X3SZSJXfAT,@115857 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
719,Tf is wrong with my keyboard @115858,"@115857 Fill us in on what is happening, then we can help out from there.",other,escalate,AI-assisted preliminary label; requires human review
721,@AppleSupport are the call centres closed for the night?,@115859 We've received your DM and will continue there.,other,escalate,AI-assisted preliminary label; requires human review
723,@115858 @AppleSupport hello are all the lines closed for tonight #help,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
733,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,@115863 Go ahead and send us a DM please. Let us know the country you're in.,other,escalate,AI-assisted preliminary label; requires human review
735,@AppleSupport I have the iPhone 6s Plus and just did the most recent update.,"@115864 To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: https://t.co/GDrqU22YpT",other,escalate,AI-assisted preliminary label; requires human review
736,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",other,escalate,AI-assisted preliminary label; requires human review
739,@AppleSupport iOS 11.0.3,"@115865 Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update.",other,escalate,AI-assisted preliminary label; requires human review
742,@AppleSupport Okey. Thank you! 🤗,"@115865 Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help.",other,escalate,AI-assisted preliminary label; requires human review
740,@AppleSupport iPhone 7 Plus 😊,@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?,other,escalate,AI-assisted preliminary label; requires human review
745,@AppleSupport I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁@AppleSupport,@115865 Hi there! What type of device are we working with?,other,escalate,AI-assisted preliminary label; requires human review
747,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,@115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,other,escalate,AI-assisted preliminary label; requires human review
749,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
751,@AppleSupport ? hello,@115867 We'd like to get you speaking to our experts here: https://t.co/IBIY3vMgPj,other,escalate,AI-assisted preliminary label; requires human review
754,"@AppleSupport Yes it did, 11.0.3","@115868 We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how: https://t.co/80YRnjDFDk",other,escalate,AI-assisted preliminary label; requires human review
756,MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport,@115868 Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,other,escalate,AI-assisted preliminary label; requires human review
758,Hey @115858! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,@115869 We're here to help. Meet us in DM and we can check on available options. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
760,@AppleSupport I can not find an option to get it there. It was just always there when playing.,@115870 DM us the specific iOS version you are running currently and we'll continue there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
763,@AppleSupport The app is still there. But no longer able to control it from the lockscreen.,"@115870 Just to confirm, this is only happening with Spotify, correct?",technical_problem,auto-handle,AI-assisted preliminary label; requires human review
765,After update #ios1103 no spotify on my lock screen?@AppleSupport,@115870 Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,other,escalate,AI-assisted preliminary label; requires human review
767,I just need @115858 to do something about the battery life because it sucks ass,@115871 We want to help you get your battery life back on track. Please DM and we'll look at it together. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
1755,"Why does my I️ not work ?! 
@115858 please fix this!!!",@116097 We'd like to look into this with you. Please DM us your current iOS version and your iPhone model. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
1757,@AppleSupport I️ just updated it and it’s still coming up https://t.co/22RZsQyTbh,@116098 Let's dig into this further with you. DM us and we'll continue there.,other,escalate,AI-assisted preliminary label; requires human review
1759,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ @115858 @AppleSupport #anybody https://t.co/urzAfSZL5z,"@116098 We definitely understand your concern. Please backup your iPhone, update and let us know the result: https://t.co/ahjigcvFRG",cancellation,auto-handle,AI-assisted preliminary label; requires human review
1761,iOS 11 is killing my battery @115858. Fix it.,@116099 We're here to help. Which exact iOS version is your device running? This info can be found under Settings &gt; General &gt; About.,other,escalate,AI-assisted preliminary label; requires human review
1763,"@AppleSupport Thanks, thing is I still have like 81 cents in credit and won't let me do that until I have zero credit",@116100 Try contacting our iTunes Store team here for more help: https://t.co/SDIe7UiyJN,other,escalate,AI-assisted preliminary label; requires human review
1764,"@AppleSupport Hello, I need some help regarding the region change on my Apple ID",@116100 This article should help with that: https://t.co/usOJWy6ChP,other,escalate,AI-assisted preliminary label; requires human review
1768,"@AppleSupport it has, but not for some time now. i’ve tried with two different apple ids but it’s still not showing up on my phone",@116101 Thanks for clarifying. Let's meet in DM so we can do more in-depth on this. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
1770,@AppleSupport why is my home sharing not working and how do i fix it,@116101 We're happy to help. Has Home Sharing worked with these devices before?,technical_problem,auto-handle,AI-assisted preliminary label; requires human review
1772,"@AppleSupport iPhone 6, yes ios11. Checked for updates, none available. I’ve swiped up to close the app several times and I’ve restarted it 2x","@116102 To make sure, is iOS 11.1 showing here: Settings &gt; General &gt; About &gt; Version? Please DM us the answer here: https://t.co/GDrqU22YpT",technical_problem,escalate,AI-assisted preliminary label; requires human review
1775,@AppleSupport @116102 Battery life just got worst.,"@116103 We'll make sure to get this straightened out. DM us, and we'll see you there. https://t.co/GDrqU22YpT",other,escalate,AI-assisted preliminary label; requires human review
1773,"@AppleSupport I just get a white screen and nothing loads. After a short time, it just closes/crashes. Thanks for the reply.",@116102 Which model do you have and is iOS 11.1 installed on it? Any steps tried so far?,other,escalate,AI-assisted preliminary label; requires human review
1779,@115858 my PHONE app doesn’t work. Thank you for updating my #iPhone to an #ipod,@116102 We want you to be able to make calls on the iPhone. What exactly is going on with the Phone app?,technical_problem,auto-handle,AI-assisted preliminary label; requires human review
1781,@AppleSupport why can’t I change ringer volume with the buttons? Whose dumb idea was it to change that and how do they still have a job?,@116104 Let us look into that. What device and OS version are you using?,other,escalate,AI-assisted preliminary label; requires human review
1783,@115858 if my words even mean a thing to you; I am an iPhone 7 owner and have updated to your latest software and now am having the most dropped calls in history and glitch’s such as apps randomly opening and more ... #iHelp,@116105  We want to help.  Send us a DM letting us know if you are updated to iOS 11.1 https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
1785,@AppleSupport epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ?,@116106 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,other,escalate,AI-assisted preliminary label; requires human review
1787,@AppleSupport Worked 👌🏽,@116107 Glad to hear and just reach out again if you need help. Have a good one!,other,escalate,AI-assisted preliminary label; requires human review
1789,@AppleSupport No I had 11.0.3 but now it says 11.1 update so ima go ahead and do that,@116107 Please keep us posted afterwards.,other,escalate,AI-assisted preliminary label; requires human review
1791,why won’t my apps fuccin download or update @AppleSupport,@116107 Apps are important and we want you to get back to enjoying them. Which model do you have? Is iOS 11.1 installed on it?,other,escalate,AI-assisted preliminary label; requires human review
2610,@AppleSupport $100 billion says that solves my problem? I’m on 11.0.3 currently. Hold please.,@116332 Let us know and we'll continue from there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
2613,"Cupertino, we have a problem. .@115858 .@116333 .@AppleSupport .@190 https://t.co/ImMcJ8QsTM",@116332 We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.,other,escalate,AI-assisted preliminary label; requires human review
2615,"@AppleSupport Yes, after the update. I Phone 7",@116334 Got it. Does this happen while using any particular App or feature? Let us know via a DM. We’ll keep moving forward from there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
2616,"@AppleSupport why is my battery life short? I updated to 11.1, my battery is poor. Wife didn’t she likes her battery life","@116334 Let’s work together on this situation. To clarify, did this start after updating to iOS 11.1? Also, which device are you using?",other,escalate,AI-assisted preliminary label; requires human review
2619,@AppleSupport But this does not show the music stored on my phone like it did in os3. I do not want to store music on my phone.,@116335 We certainly want to take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
2620,@AppleSupport watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,@116335 You should still be able to control Music on your iPhone from the watch. Check out the user guide here: https://t.co/vRQnmrhVHj,other,escalate,AI-assisted preliminary label; requires human review
2627,@AppleSupport iOS 11.1 it’s been getting worse for a few months now,@116337 Please meet with us in DM. We'd like to gather some additional details from you. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
2628,Question- @249 @115858 my iPhone6 dies very quick (have to charge it 3 times a day) my iPhone5 battery was faulty. Could this be the same?,"@116337 We know how important your battery is &amp; we'll be happy to help. Which iOS version are you using? Also, when did this issue begin?",billing_refund,auto-handle,AI-assisted preliminary label; requires human review
2631,"@AppleSupport iPhone 7+, iOS 11.1","@116338 Thank you very much! Send us a DM to let us know if your speaker doesn't work on calls, or if other apps are affected as well. https://t.co/GDrqU22YpT",other,escalate,AI-assisted preliminary label; requires human review
2632,And why is my music NEVER in my control center?! @AppleSupport,@116338 We're here to help out! Which device is this on and which version of iOS is currently installed?,other,escalate,AI-assisted preliminary label; requires human review
